dt,i,m,pv,pload,hload,pg,pt,soc
10/31/2016 0:00,1,0,0,2.84283333,0.516878787272727,0.33,0.42,5.15
10/31/2016 1:00,0,0,0,4.18616667,0.761121212727273,0.33,0.42,0
10/31/2016 2:00,0,0,0,4.31666667,0.784848485454545,0.33,0.42,0
10/31/2016 3:00,0,0,0,2.84283333,0.516878787272727,0.33,0.42,0
10/31/2016 4:00,0,0,0,3.852,0.700363636363636,0.33,0.42,0
10/31/2016 5:00,0,0,0,4.32516667,0.78639394,0.33,0.42,0
10/31/2016 6:00,0,0,0,2.82933333,0.514424241818182,0.33,0.42,0
10/31/2016 7:00,0,0,2.12,2.81133333,0.511151514545455,0.33,0.42,0
10/31/2016 8:00,0,0,6.54,2.79566667,0.508303030909091,0.33,0.87,0
10/31/2016 9:00,0,0,8.15,2.80216667,0.509484849090909,0.33,0.87,0
10/31/2016 10:00,0,0,9.59,4.1875,0.761363636363636,0.33,0.87,0
10/31/2016 11:00,0,0,10.8,2.87116667,0.522030303636364,0.33,1.35,0
10/31/2016 12:00,0,0,10.88,2.83266667,0.515030303636364,0.33,1.35,0
10/31/2016 13:00,0,0,10.36,3.0025,0.545909090909091,0.33,1.35,0
10/31/2016 14:00,0,0,9.88,2.817,0.512181818181818,0.33,1.35,0
10/31/2016 15:00,0,0,8.06,2.28683333,0.415787878181818,0.33,1.35,0
10/31/2016 16:00,0,0,6.25,3.75366667,0.682484849090909,0.33,0.87,0
10/31/2016 17:00,0,0,3.82,2.36133333,0.429333332727273,0.33,0.87,0
10/31/2016 18:00,0,0,0,2.34033333,0.425515150909091,0.33,1.35,0
10/31/2016 19:00,0,0,0,2.26,0.410909090909091,0.33,1.35,0
10/31/2016 20:00,0,0,0,3.61716667,0.657666667272727,0.33,1.35,0
10/31/2016 21:00,0,0,0,3.715,0.675454545454546,0.33,1.35,0
10/31/2016 22:00,0,0,0,2.29716667,0.417666667272727,0.33,0.87,0
10/31/2016 23:00,0,0,0,3.1085,0.565181818181818,0.33,0.87,0
